# Telemetry start (system clock): 2025-10-08 09:38:05
# steady_clock t0 reference point for relative times below
time,pos,vel
0.0011,88.0000,0.0000
0.0154,88.0000,0.0000
0.2424,88.0000,12.2920
0.2581,107.0000,31.6629
0.2739,171.0000,51.0338
0.2901,275.0000,75.6177
0.3065,421.0000,105.0717
0.3228,612.0000,116.5685
0.3389,839.0000,148.2313
0.3549,1113.0000,168.3975
0.3711,1423.0000,196.4769
0.3871,1773.0000,212.9316
0.4033,2171.0000,247.7267
0.4194,2614.0000,274.8829
0.4358,3090.0000,296.4627
0.4520,3613.0000,316.6288
0.4681,4184.0000,341.9201
0.4843,4783.0000,367.6626
0.5003,5409.0000,358.3748
0.5162,6011.0000,329.5001
0.5323,6585.0000,318.8377
0.5486,7092.0000,279.0456
0.5645,7568.0000,265.5951
0.5806,8000.0000,240.4318
0.5966,8392.0000,206.5600
0.6125,8745.0000,189.9773
0.6283,9056.0000,168.3975
0.6445,9330.0000,145.4432
0.6606,9559.0000,116.5685
0.6768,9746.0000,94.9887
0.6928,9895.0000,69.8254
0.7088,9998.0000,41.7460
0.7247,10063.0000,21.5798
0.7407,10087.0000,10.0831
0.7567,10088.0000,0.0000
0.7728,10088.0000,0.0000
0.7812,10088.0000,0.0000
0.7949,10088.0000,0.0000
0.8085,10088.0000,0.0000
0.8221,10088.0000,0.0000
0.8356,10088.0000,0.0000
0.8491,10088.0000,0.0000
0.8626,10088.0000,0.0000
0.8762,10088.0000,0.0000
0.8896,10088.0000,0.0000
0.9032,10088.0000,0.0000
0.9165,10088.0000,0.0000
0.9301,10088.0000,0.0000
0.9435,10088.0000,0.0000
0.9572,10088.0000,0.0000
0.9707,10088.0000,0.0000
0.9840,10088.0000,0.0000
0.9974,10088.0000,0.0000
1.0107,10088.0000,0.0000
1.0241,10088.0000,0.0000
1.0377,10088.0000,0.0000
1.0517,10088.0000,0.0000
1.0653,10088.0000,0.0000
1.0788,10088.0000,0.0000
1.0922,10088.0000,0.0000
1.1056,10088.0000,0.0000
1.1192,10088.0000,0.0000
1.1327,10088.0000,0.0000
1.1460,10088.0000,0.0000
1.1596,10088.0000,0.0000
1.1732,10088.0000,0.0000
1.1866,10088.0000,0.0000
1.2000,10088.0000,0.0000
1.2136,10088.0000,0.0000
1.2273,10088.0000,0.0000
1.2408,10088.0000,0.0000
1.2544,10088.0000,0.0000
1.2677,10088.0000,0.0000
1.2811,10088.0000,0.0000
1.3037,10088.0000,0.0000
1.3196,10072.0000,-25.2913
1.3360,10019.0000,-41.7460
1.3522,9935.0000,-63.3258
1.3683,9818.0000,-84.9056
1.3842,9668.0000,-94.9887
1.4003,9487.0000,-123.8634
1.4163,9269.0000,-139.6508
1.4323,9025.0000,-158.3144
1.4482,8746.0000,-187.1891
1.4641,8429.0000,-189.9773
1.4805,8075.0000,-221.6402
1.4967,7695.0000,-231.7233
1.5131,7287.0000,-228.0118
1.5291,6932.0000,-207.8457
1.5452,6590.0000,-189.9773
1.5616,6292.0000,-161.1026
1.5776,6027.0000,-139.5228
1.5940,5790.0000,-123.8634
1.6098,5591.0000,-105.0717
1.6262,5425.0000,-84.9056
1.6422,5294.0000,-73.4088
1.6584,5193.0000,-50.4545
1.6744,5126.0000,-25.7425
1.6904,5093.0000,-2.7882
1.7065,5088.0000,2.7882
1.7227,5088.0000,0.0000
