# Telemetry start (system clock): 2025-10-08 09:43:22
# steady_clock t0 reference for relative times below
time,pos,vel
0.0243,-20002.0000,0.0000
0.0943,-19941.0000,0.0000
0.1552,-19696.0000,38.0345
0.2165,-19436.0000,40.3714
0.2774,-19173.0000,38.0345
0.3392,-18913.0000,38.0345
0.4004,-18652.0000,41.7460
0.4615,-18391.0000,41.7460
0.5226,-18130.0000,40.3714
0.5839,-17870.0000,40.3714
0.6445,-17611.0000,38.0345
0.7055,-17349.0000,38.0345
0.7672,-17086.0000,38.1625
0.8287,-16825.0000,38.0345
0.8900,-16562.0000,38.0345
0.9511,-16302.0000,40.3714
1.0123,-16040.0000,40.3714
1.0733,-15779.0000,38.1625
1.1348,-15519.0000,43.1596
1.1958,-15257.0000,41.7460
1.2572,-14996.0000,38.1625
1.3185,-14734.0000,40.3714
1.3796,-14472.0000,38.1625
1.4411,-14210.0000,43.1596
1.5027,-13947.0000,41.7460
1.5643,-13685.0000,38.1625
1.6254,-13425.0000,38.1625
1.6863,-13164.0000,41.7460
1.7478,-12902.0000,40.3714
1.8091,-12642.0000,38.0345
1.8699,-12382.0000,41.7460
1.9308,-12121.0000,38.0345
1.9918,-11861.0000,38.1625
2.0531,-11599.0000,38.1625
2.1148,-11336.0000,41.7460
2.1763,-11076.0000,37.5832
2.2374,-10814.0000,38.0345
2.2986,-10553.0000,40.3714
2.3598,-10291.0000,41.7460
2.4213,-10030.0000,38.1625
2.4826,-9769.0000,41.7460
2.5436,-9507.0000,38.1625
2.6051,-9245.0000,43.1596
2.6664,-8984.0000,38.1625
2.7276,-8722.0000,41.7460
2.7887,-8462.0000,41.7460
2.8500,-8199.0000,38.1625
2.9116,-7936.0000,38.1625
2.9732,-7675.0000,41.7460
3.0345,-7413.0000,38.1625
3.0956,-7152.0000,41.7460
3.1571,-6890.0000,38.0345
3.2183,-6629.0000,41.7460
3.2796,-6365.0000,38.0345
3.3413,-6105.0000,41.7460
3.4025,-5843.0000,41.7460
3.4637,-5581.0000,38.1625
3.5251,-5320.0000,37.5832
3.5862,-5060.0000,41.7460
3.6476,-4798.0000,38.0345
3.7087,-4538.0000,38.0345
3.7699,-4275.0000,43.1596
3.8310,-4015.0000,46.7430
3.8921,-3755.0000,40.3714
3.9530,-3493.0000,38.1625
4.0143,-3233.0000,41.7460
4.0756,-2971.0000,43.1596
4.1371,-2709.0000,43.1596
4.1982,-2447.0000,41.7460
4.2598,-2185.0000,45.4574
4.3214,-1924.0000,38.0345
4.3821,-1664.0000,34.4511
4.4435,-1403.0000,43.1596
4.5044,-1144.0000,38.1625
4.5655,-881.0000,41.7460
4.6269,-618.0000,38.0345
4.6884,-356.0000,37.5832
4.7495,-104.0000,41.7460
4.8107,7.0000,0.0000
4.8713,10.0000,0.0000
4.9322,-8.0000,0.0000
4.9430,-7.0000,10.0831
6.4771,0.0000,0.0000
6.4928,-149.0000,-94.9887
6.5091,-481.0000,-164.6860
6.5252,-819.0000,-210.1435
6.5410,-1163.0000,-205.0575
6.5570,-1505.0000,-195.5537
6.5730,-1844.0000,-200.0604
6.5892,-2193.0000,-206.5600
6.6054,-2540.0000,-189.9773
6.6216,-2882.0000,-196.4769
6.6376,-3231.0000,-189.9773
6.6539,-3572.0000,-202.2693
6.6698,-3913.0000,-189.9773
6.6859,-4251.0000,-200.0604
6.7019,-4595.0000,-202.8486
6.7178,-4937.0000,-200.0604
6.7337,-5272.0000,-202.2693
6.7495,-5604.0000,-196.4769
6.7652,-5943.0000,-202.2693
6.7813,-6286.0000,-202.2693
6.7973,-6626.0000,-202.8486
6.8131,-6963.0000,-206.5600
6.8291,-7310.0000,-196.4769
6.8450,-7651.0000,-192.7655
6.8610,-7986.0000,-202.8486
6.8769,-8325.0000,-200.0604
6.8932,-8676.0000,-200.0604
6.9089,-9014.0000,-202.8486
6.9252,-9356.0000,-202.2693
6.9410,-9691.0000,-196.4769
6.9569,-10032.0000,-195.5537
6.9730,-10375.0000,-189.9773
6.9889,-10713.0000,-202.2693
7.0048,-11064.0000,-189.9773
7.0212,-11410.0000,-192.7655
7.0374,-11751.0000,-202.2693
7.0534,-12089.0000,-196.4769
7.0695,-12437.0000,-199.2651
7.0856,-12780.0000,-202.8486
7.1018,-13129.0000,-202.2693
7.1180,-13471.0000,-192.7655
7.1339,-13809.0000,-189.9773
7.1501,-14156.0000,-202.8486
7.1662,-14498.0000,-200.0604
7.1822,-14839.0000,-202.2693
7.1983,-15187.0000,-200.0604
7.2144,-15526.0000,-202.2693
7.2304,-15869.0000,-200.0604
7.2465,-16209.0000,-202.8486
7.2628,-16564.0000,-199.2651
7.2787,-16897.0000,-200.0604
7.2948,-17246.0000,-199.2651
7.3110,-17589.0000,-189.9773
7.3268,-17921.0000,-196.4769
7.3428,-18269.0000,-199.2651
7.3589,-18613.0000,-196.4769
7.3753,-18956.0000,-202.2693
7.3914,-19305.0000,-202.2693
7.4084,-19665.0000,-200.0604
7.4244,-20005.0000,-202.2693
7.4404,-20347.0000,-196.4769
7.4561,-20683.0000,-200.0604
7.4720,-21029.0000,-200.0604
7.4883,-21371.0000,-200.0604
7.5042,-21710.0000,-189.9773
7.5204,-22051.0000,-202.2693
7.5363,-22394.0000,-192.7655
7.5523,-22735.0000,-206.5600
7.5683,-23080.0000,-202.2693
7.5841,-23417.0000,-202.2693
7.6003,-23765.0000,-202.8486
7.6165,-24105.0000,-200.0604
